"FIELD_ID","SM","LAI","RVI"
"1","26.796667","1.89","0.41361672486195"
"2","27.920000","2.115","0.42228565299117"
"1","23.686667","3.945","0.53637038414266"
"2","25.756667","1.97","0.41076588928405"
"4","9.610000","0.920000","0.35478075884648"
"5","10.610000","2.700000","0.32187162791772"
"1","10.970000","3.315","0.49409443663661"
"2","13.390000","3.74","0.46073288325277"
"4","17.660000","3.350000","0.53351907877226"
"5","20.600000","3.900000","0.36403139742191"
"1","19.630000","4.675","0.74346019654326"
"2","22.240000","4.21","0.40672421216761"
"4","17.410000","4.170000","0.38164655678397"
"5","18.600000","5.220000","0.30925084244238"
"1","20.046667","4.31","0.52932162959718"
"2","20.750000","4.7","0.43314001905189"
"4","12.540000","3.840000","0.27576259820539"
"5","15.060000","5.800000","0.3367216147248"
"1","14.680000","4.72","0.69203153052498"
"2","13.626667","4.24","0.37939452950566"
"4","7.470000","4.730000","0.33460804884054"
"5","8.000000","4.960000","0.31500889675567"
"1","7.056667","4.325","0.4726741859479"
"2","9.490000","4.47","0.39778390569994"
"5","20.010000","5.090000","0.32185209956569"
"1","4.250000","4.040000","0.70349840171318"
"2","3.740000","4.170000","0.47624266042329"
"4","3.823333","4.62","0.36930907201631"
"4","2.660000","4.010000","0.30953744813144"
"5","3.750000","4.540000","0.32036302450849"
"1","3.200000","3","0.445275052"
"2","3.780000","3.5","0.50686523744011"
"3","40.010000","1.84","0.40582154054424"
"3","36.410000","2.995","0.41717142390785"
"6","13.500000","3.710000","0.42477556852806"
"3","28.836667","3.7","0.34524173521816"
"6","20.390000","4.440000","0.50553518552004"
"3","30.116667","4.43","0.43904409382673"
"6","21.030000","5.660000","0.51929030643158"
"3","32.153333","3.58","0.3262442438395"
"6","18.840000","4.450000","0.42140437852872"
"3","26.613333","4.02","0.46299069516834"
"6","8.610000","5.360000","0.463905"
"3","19.866667","4.35","0.43025683832399"
"6","24.200000","3.850000","0.33887407422916"
"3","36.370000","4.615","0.50505114285316"
"6","5.040000","3.710000","0.29968196525259"
"3","9.713333","3.5","0.48063677624722"
