RVI,LAI,,,,,,,,,,,,
0.413616725,2.312,,,,,,,,,,,,
0.536370384,4.736,,,,,,,,,,,,
0.494094437,4.149,,,,,,,,,,,,
0.743460197,5.397,,,,,,,,,,,,
0.52932163,4.31,,,,,,,,,,,,
0.692031531,5.12,,,,,,,,,,,,
0.472674186,4.325,,,,,,,,,,,,
0.703498402,5.04,,,,,,,,,,,,
0.445275052,3.38,,,,,,,,,,,,
0.422285653,3.115,,,,,,,,,,,,
0.410765889,2.97,,,,,,,,,,,,
0.460732883,3.74,,,,,,,,,,,,
0.406724212,4.21,,,,,,,,,,,,
0.433140019,4.7,,,,,,,,,,,,
0.37939453,4.24,,,,,,,,,,,,
0.397783906,4.47,,,,,,,,,,,,
0.47624266,4.17,,,,,,,,,,,,
0.506865237,4.5,,,,,,,,,,,,
0.354780759,3.7,,,,,,,,,,,,
0.533519079,4.85,,,,,,,,,,,,
0.381646557,4.17,,,,,,,,,,,,
0.275762598,3.44,,,,,,,,,,,,
0.334608049,4.33,,,,,,,,,,,,
0.369309072,3.9,,,,,,,,,,,,
0.309537448,2.22,,,,,,,,,,,,
0.321871628,2.7,,,,,,,,,,,,
0.364031397,4.39,,,,,,,,,,,,
0.309250842,4.01,,,,,,,,,,,,
0.336721615,4.8,,,,,,,,,,,,
0.315008897,3.96,,,,,,,,,,,,
0.3218521,4.09,,,,,,,,,,,,
0.320363025,4.14,,,,,,,,,,,,
0.424775569,3.710000,,,,,,,,,,,,
0.505535186,4.440000,,,,,,,,,,,,
0.519290306,5.660000,,,,,,,,,,,,
0.421404379,4.450000,,,,,,,,,,,,
0.463905,5.360000,,,,,,,,,,,,
0.338874074,3.850000,,,,,,,,,,,,
0.299681965,3.710000,,,,,,,,,,,,
0.405821541,1.84,,,,,,,,,,,,
0.417171424,2.995,,,,,,,,,,,,
0.345241735,3.7,,,,,,,,,,,,
0.439044094,4.43,,,,,,,,,,,,
0.326244244,3.58,,,,,,,,,,,,
0.462990695,4.02,,,,,,,,,,,,
0.430256838,4.35,,,,,,,,,,,,
0.505051143,4.615,,,,,,,,,,,,
0.480636776,3.5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
