m-chi-RVI,LAI
0.339162857,2.312
0.323814444,4.736
0.318388889,4.149
0.27683625,5.397
0.43903,4.31
0.362238333,5.12
0.421875,4.325
0.317233333,5.04
0.214801429,3.38
0.28891,3.115
0.340553333,2.97
0.301871818,3.74
0.245876667,4.21
0.376776667,4.7
0.372746667,4.24
0.4298,4.47
0.281447778,4.17
0.2388425,4.5
0.269536923,1.84
0.328866667,2.995
0.371290833,3.7
0.306404,4.43
0.489070769,3.58
0.356879231,4.02
0.374405455,4.35
0.317740769,4.615
0.255206364,3.5
0.2786475,3.7
0.2657275,4.85
0.379565,4.17
0.40537,3.44
0.352346667,4.33
0.3255975,3.9
0.34455,2.22
0.2820925,2.7
0.245725,4.39
0.3921425,4.01
0.38168,4.8
0.36071,3.96
0.429658571,4.09
0.300111667,4.14
0.284261429,3.710000
0.364185,4.440000
0.3969075,5.660000
0.416373333,4.450000
0.457861818,5.360000
0.32922,3.850000
0.335035455,3.710000
