m-delta-RVI,LAI
0.3579,2.312
0.356791111,4.736
0.330046667,4.149
0.29601625,5.397
0.449565833,4.31
0.395216667,5.12
0.431857,4.325
0.341073333,5.04
0.217725714,3.38
0.294566667,3.115
0.363795,2.97
0.338671111,3.74
0.267143333,4.21
0.410062222,4.7
0.393988889,4.24
0.437736667,4.47
0.298046667,4.17
0.251111667,4.5
0.282255385,1.84
0.344346667,2.995
0.39531,3.7
0.335719333,4.43
0.507623846,3.58
0.384915385,4.02
0.384284545,4.35
0.351686154,4.615
0.262097273,3.5
0.30743,3.7
0.281535,4.85
0.398065,4.17
0.414335,3.44
0.363543333,4.33
0.3362325,3.9
0.361805,2.22
0.313388571,2.7
0.255738333,4.39
0.42921,4.01
0.398713333,4.8
0.39402,3.96
0.466661429,4.09
0.318615,4.14
0.306702308,3.710000
0.37323125,4.440000
0.433215,5.660000
0.433877778,4.450000
0.471359091,5.360000
0.3545325,3.850000
0.356237273,3.710000
